Rk,Player,Ft,In,Inches,Salary,Salary_M,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,MPG,PPG,FGAPG,RPG,APG,STLPG,BPG
1,Nate Robinson,5,9,69,2106720,2.107,2014-15,30,DEN,NBA,33,1,465,71,204,47,112,24,92,26,40,14,25,39,77,14,3,22,68,192,0.348,0.42,0.261,0.407,0.65,0.433,14.1,5.8,6.2,1.2,2.3,0.4,0.1
2,Isaiah Thomas,5,9,69,7238606,7.239,2014-15,25,PHO,NBA,46,1,1181,218,512,137,305,81,207,184,211,26,83,109,171,45,5,89,105,701,0.426,0.449,0.391,0.505,0.872,0.579,25.7,15.2,11.1,2.4,3.7,1,0.1
3,Shane Larkin,5,11,71,1606080,1.606,2014-15,22,NYK,NBA,50,14,1106,106,256,79,177,27,79,30,37,17,81,98,126,63,4,48,93,269,0.414,0.446,0.342,0.467,0.811,0.494,22.1,5.4,5.1,2,2.5,1.3,0.1
4,Ty Lawson,5,11,71,11595506,11.596,2014-15,27,DEN,NBA,51,51,1886,300,671,246,521,54,150,207,283,28,135,163,513,65,5,135,93,861,0.447,0.472,0.36,0.487,0.731,0.541,37,16.9,13.2,3.2,10.1,1.3,0.1
5,John Lucas,5,11,71,137382,0.137,2014-15,32,DET,NBA,7,0,94,16,36,10,23,6,13,0,0,2,2,4,26,3,0,3,8,38,0.444,0.435,0.462,0.528,,0.528,13.4,5.4,5.1,0.6,3.7,0.4,0
6,Phil Pressey,5,11,71,816482,0.816,2014-15,23,BOS,NBA,33,0,367,37,106,24,61,13,45,18,25,7,36,43,66,20,3,22,34,105,0.349,0.393,0.289,0.41,0.72,0.449,11.1,3.2,3.2,1.3,2,0.6,0.1
8,D.J. Augustin,6,0,72,3000000,3.000,2014-15,27,TOT,NBA,55,13,1310,192,470,141,317,51,153,151,174,13,90,103,267,33,2,110,63,586,0.409,0.445,0.333,0.463,0.868,0.536,23.8,10.7,8.5,1.9,4.9,0.6,0
9,Jose Barea,6,0,72,1310286,1.310,2014-15,30,DAL,NBA,56,8,974,161,388,118,262,43,126,57,69,19,87,106,190,26,1,50,79,422,0.415,0.45,0.341,0.47,0.826,0.504,17.4,7.5,6.9,1.9,3.4,0.5,0
10,Aaron Brooks,6,0,72,1145685,1.146,2014-15,30,CHI,NBA,56,1,1116,213,486,130,297,83,189,91,105,18,83,101,152,34,10,104,127,600,0.438,0.438,0.439,0.524,0.867,0.564,19.9,10.7,8.7,1.8,2.7,0.6,0.2
11,Isaiah Canaan,6,0,72,816482,0.816,2014-15,23,HOU,NBA,25,9,369,53,131,21,47,32,84,16,21,11,22,33,29,14,0,23,28,154,0.405,0.447,0.381,0.527,0.762,0.549,14.8,6.2,5.2,1.3,1.2,0.6,0
12,Will Cherry,6,0,72,25000,0.025,2014-15,23,CLE,NBA,8,0,69,5,19,3,10,2,9,3,6,1,4,5,8,6,1,4,10,15,0.263,0.3,0.222,0.316,0.5,0.347,8.6,1.9,2.4,0.6,1,0.8,0.1
13,Darren Collison,6,0,72,4797664,4.798,2014-15,27,SAC,NBA,45,45,1565,260,550,200,389,60,161,145,184,19,124,143,252,67,14,112,95,725,0.473,0.514,0.373,0.527,0.788,0.575,34.8,16.1,12.2,3.2,5.6,1.5,0.3
14,Kyle Lowry,6,0,72,12000000,12.000,2014-15,28,TOR,NBA,55,55,1920,351,838,254,541,97,297,210,263,46,210,256,395,84,11,143,168,1009,0.419,0.47,0.327,0.477,0.798,0.529,34.9,18.3,15.2,4.7,7.2,1.5,0.2
15,Patrick Mills,6,0,72,3842105,3.842,2014-15,26,SAS,NBA,24,0,454,73,186,37,86,36,100,23,27,14,30,44,36,12,2,21,37,205,0.392,0.43,0.36,0.489,0.852,0.518,18.9,8.5,7.8,1.8,1.5,0.5,0.1
16,Jameer Nelson,6,0,72,2732000,2.732,2014-15,32,TOT,NBA,41,26,982,114,316,55,140,59,176,19,27,20,86,106,185,32,2,75,95,306,0.361,0.393,0.335,0.454,0.704,0.467,24,7.5,7.7,2.6,4.5,0.8,0
17,Chris Paul,6,0,72,20068563,20.069,2014-15,29,LAC,NBA,56,56,1939,359,763,271,532,88,231,182,207,38,233,271,549,105,9,127,136,988,0.471,0.509,0.381,0.528,0.879,0.578,34.6,17.6,13.6,4.8,9.8,1.9,0.2
18,Ish Smith,6,0,72,981084,0.981,2014-15,26,OKC,NBA,30,0,155,15,45,14,40,1,5,6,9,5,22,27,28,4,1,9,12,37,0.333,0.35,0.2,0.344,0.667,0.378,5.2,1.2,1.5,0.9,0.9,0.1,0
